timestamp,src,sport,dst,dport,proto,pkt_count,bytes,duration,pred
2025-12-16 01:06:47,192.168.1.25,55091,172.64.155.209,443,TCP,1,55,0.0,
2025-12-16 01:06:47,172.64.155.209,443,192.168.1.25,55091,TCP,1,66,0.0,
2025-12-16 01:06:48,8.8.4.4,443,192.168.1.25,63876,TCP,3,218,0.0,
2025-12-16 01:06:48,192.168.1.25,63876,8.8.4.4,443,TCP,1,54,0.0,
2025-12-16 01:06:51,192.168.1.20,5353,224.0.0.251,5353,UDP,6,1047,0.642,
2025-12-16 01:06:52,192.168.1.25,52292,8.8.8.8,53,UDP,2,145,6.883,
2025-12-16 01:06:52,192.168.1.25,52292,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:06:52,8.8.8.8,53,192.168.1.25,52292,UDP,2,304,6.923,
2025-12-16 01:06:53,192.168.1.25,50971,34.54.84.110,443,TCP,13,2850,0.393,
2025-12-16 01:06:53,34.54.84.110,443,192.168.1.25,50971,TCP,12,5497,0.354,
2025-12-16 01:06:53,8.8.4.4,53,192.168.1.25,52292,UDP,1,169,0.0,
2025-12-16 01:06:53,192.168.1.25,50972,49.44.144.87,443,TCP,10,3805,0.179,
2025-12-16 01:06:53,49.44.144.87,443,192.168.1.25,50972,TCP,9,9880,0.17,
2025-12-16 01:06:56,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.075,
2025-12-16 01:06:56,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:06:56,192.168.1.25,62293,99.86.182.15,443,TCP,1,55,0.0,
2025-12-16 01:06:56,99.86.182.15,443,192.168.1.25,62293,TCP,1,66,0.0,
2025-12-16 01:06:58,192.168.1.25,61533,8.8.8.8,53,UDP,1,74,0.0,
2025-12-16 01:06:58,192.168.1.25,61533,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:06:58,8.8.8.8,53,192.168.1.25,61533,UDP,1,94,0.0,
2025-12-16 01:06:58,8.8.4.4,53,192.168.1.25,61533,UDP,1,94,0.0,
2025-12-16 01:06:58,192.168.1.25,50973,172.217.24.164,443,TCP,9,2291,0.215,
2025-12-16 01:06:58,172.217.24.164,443,192.168.1.25,50973,TCP,22,36688,0.203,
2025-12-16 01:07:03,192.168.1.25,59023,8.8.8.8,53,UDP,1,74,0.0,
2025-12-16 01:07:03,192.168.1.25,59023,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:07:03,8.8.8.8,53,192.168.1.25,59023,UDP,1,104,0.0,
2025-12-16 01:07:03,8.8.4.4,53,192.168.1.25,59023,UDP,1,104,0.0,
2025-12-16 01:07:03,192.168.1.25,50974,20.207.73.82,443,TCP,7,2167,0.133,
2025-12-16 01:07:03,20.207.73.82,443,192.168.1.25,50974,TCP,7,4223,0.106,
2025-12-16 01:07:03,192.168.1.25,50975,20.207.73.82,443,TCP,15,2591,0.206,
2025-12-16 01:07:04,192.168.1.25,62733,104.18.32.47,443,TCP,1,55,0.0,
2025-12-16 01:07:04,104.18.32.47,443,192.168.1.25,62733,TCP,1,66,0.0,
2025-12-16 01:07:05,192.168.1.25,51003,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:07:05,192.168.1.25,56350,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:07:05,8.8.8.8,53,192.168.1.25,51003,UDP,1,150,0.0,
2025-12-16 01:07:05,8.8.8.8,53,192.168.1.25,56350,UDP,1,102,0.0,
2025-12-16 01:07:05,192.168.1.25,63083,75.101.158.227,443,TCP,3,215,0.002,
2025-12-16 01:07:05,192.168.1.25,63631,75.101.158.227,443,TCP,3,215,0.001,
2025-12-16 01:07:05,0.0.0.0,0,224.0.0.1,0,2,3,138,0.003,
2025-12-16 01:07:05,75.101.158.227,443,192.168.1.25,63083,TCP,5,343,0.252,
2025-12-16 01:07:05,75.101.158.227,443,192.168.1.25,63631,TCP,5,343,0.252,
2025-12-16 01:07:05,192.168.1.25,0,224.0.0.251,0,2,1,46,0.0,
2025-12-16 01:07:05,192.168.1.25,0,239.255.255.250,0,2,1,46,0.0,
2025-12-16 01:07:06,192.168.1.25,57281,8.8.4.4,443,UDP,17,7010,1.017,
2025-12-16 01:07:06,8.8.4.4,443,192.168.1.25,57281,UDP,21,9858,1.005,
2025-12-16 01:07:06,192.168.1.25,60336,3.233.252.78,443,TCP,8,3894,1.041,
2025-12-16 01:07:06,192.168.1.25,50442,3.233.252.78,443,TCP,12,7873,0.753,
2025-12-16 01:07:06,3.233.252.78,443,192.168.1.25,60336,TCP,8,4991,0.775,
2025-12-16 01:07:06,192.168.1.25,61985,3.233.252.78,443,TCP,7,2476,0.7,
2025-12-16 01:07:06,3.233.252.78,443,192.168.1.25,61985,TCP,9,5064,0.492,
2025-12-16 01:07:06,192.168.1.1,0,192.168.1.25,0,1,4,2376,19.859,
2025-12-16 01:07:06,3.233.252.78,443,192.168.1.25,50442,TCP,17,5950,0.901,
2025-12-16 01:07:06,192.168.1.25,62573,64.233.170.188,443,TCP,1,55,0.0,
2025-12-16 01:07:06,64.233.170.188,443,192.168.1.25,62573,TCP,1,66,0.0,
2025-12-16 01:07:07,192.168.1.25,56932,100.30.124.180,443,TCP,12,22074,1.33,
2025-12-16 01:07:07,100.30.124.180,443,192.168.1.25,56932,TCP,16,8625,1.107,
2025-12-16 01:07:08,192.168.1.28,53400,239.255.255.250,1900,UDP,1,167,0.0,
2025-12-16 01:07:08,192.168.1.25,62696,74.125.200.188,443,TCP,1,55,0.0,
2025-12-16 01:07:08,74.125.200.188,443,192.168.1.25,62696,TCP,1,70,0.0,
2025-12-16 01:07:09,3.217.172.174,443,192.168.1.25,50969,TCP,11,5675,22.887,
2025-12-16 01:07:09,192.168.1.25,50969,3.217.172.174,443,TCP,12,5640,23.212,
2025-12-16 01:07:09,192.168.1.25,50948,13.89.179.10,443,TCP,1,55,0.0,
2025-12-16 01:07:09,13.89.179.10,443,192.168.1.25,50948,TCP,1,66,0.0,
2025-12-16 01:07:12,192.168.1.25,0,239.255.102.18,0,2,1,46,0.0,
2025-12-16 01:07:12,192.168.1.25,50060,18.161.216.15,443,TCP,3,163,14.896,
2025-12-16 01:07:12,18.161.216.15,443,192.168.1.25,50060,TCP,4,267,14.854,
2025-12-16 01:07:12,192.168.1.25,55572,8.8.8.8,53,UDP,2,151,9.246,
2025-12-16 01:07:12,192.168.1.25,55572,8.8.4.4,53,UDP,1,81,0.0,
2025-12-16 01:07:12,8.8.8.8,53,192.168.1.25,55572,UDP,2,183,9.284,
2025-12-16 01:07:12,8.8.4.4,53,192.168.1.25,55572,UDP,1,97,0.0,
2025-12-16 01:07:13,192.168.1.25,61700,4.224.95.102,443,TCP,2,166,0.076,
2025-12-16 01:07:13,4.224.95.102,443,192.168.1.25,61700,TCP,1,101,0.0,
2025-12-16 01:07:13,192.168.1.25,52493,8.8.8.8,53,UDP,2,186,0.151,
2025-12-16 01:07:13,8.8.8.8,53,192.168.1.25,52493,UDP,2,255,0.152,
2025-12-16 01:07:13,192.168.1.25,56940,142.250.182.65,443,TCP,12,2555,0.094,
2025-12-16 01:07:13,142.250.182.65,443,192.168.1.25,56940,TCP,14,11807,0.093,
2025-12-16 01:07:14,192.168.1.25,62838,8.8.8.8,53,UDP,2,157,1.009,
2025-12-16 01:07:14,8.8.8.8,53,192.168.1.25,62838,UDP,2,429,1.009,
2025-12-16 01:07:14,192.168.1.25,0,224.0.0.252,0,2,1,46,0.0,
2025-12-16 01:07:17,192.168.1.28,0,224.0.0.251,0,2,3,138,0.003,
2025-12-16 01:07:17,192.168.1.10,0,224.0.0.251,0,2,2,120,0.001,
2025-12-16 01:07:19,192.168.1.25,61645,35.190.80.1,443,TCP,1,55,0.0,
2025-12-16 01:07:19,35.190.80.1,443,192.168.1.25,61645,TCP,1,66,0.0,
2025-12-16 01:07:23,192.168.1.20,0,224.0.0.252,0,2,3,138,0.0,
2025-12-16 01:07:24,192.168.1.25,51044,8.8.8.8,53,UDP,1,79,0.0,
2025-12-16 01:07:24,192.168.1.25,54990,8.8.8.8,53,UDP,1,79,0.0,
2025-12-16 01:07:24,8.8.8.8,53,192.168.1.25,54990,UDP,1,248,0.0,
2025-12-16 01:07:25,192.168.1.25,65039,13.107.213.58,443,TCP,17,4342,0.079,
2025-12-16 01:07:25,13.107.213.58,443,192.168.1.25,65039,TCP,19,65529,0.07,
2025-12-16 01:07:29,192.168.1.25,63876,8.8.4.4,443,TCP,2,108,0.0,
2025-12-16 01:07:29,8.8.4.4,443,192.168.1.25,63876,TCP,1,54,0.0,
2025-12-16 01:07:32,52.123.128.14,443,192.168.1.25,50963,TCP,1,54,0.0,
2025-12-16 01:07:32,52.123.128.14,443,192.168.1.25,50964,TCP,1,54,0.0,
2025-12-16 01:07:32,192.168.1.25,55091,172.64.155.209,443,TCP,1,55,0.0,
2025-12-16 01:07:32,172.64.155.209,443,192.168.1.25,55091,TCP,1,66,0.0,
2025-12-16 01:07:33,20.207.73.82,443,192.168.1.25,50974,TCP,2,132,0.0,
2025-12-16 01:07:33,192.168.1.25,50974,20.207.73.82,443,TCP,1,54,0.0,
2025-12-16 01:07:33,20.207.73.82,443,192.168.1.25,50975,TCP,17,138271,30.092,
2025-12-16 01:07:33,192.168.1.25,50975,20.207.73.82,443,TCP,1,54,0.0,
2025-12-16 01:07:36,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.144,
2025-12-16 01:07:36,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:07:42,192.168.1.25,64477,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:07:42,192.168.1.25,57952,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:07:42,8.8.8.8,53,192.168.1.25,64477,UDP,1,150,0.0,
2025-12-16 01:07:42,8.8.8.8,53,192.168.1.25,57952,UDP,1,102,0.0,
2025-12-16 01:07:43,192.168.1.25,56940,142.250.182.65,443,TCP,1,55,0.0,
2025-12-16 01:07:43,142.250.182.65,443,192.168.1.25,56940,TCP,1,70,0.0,
2025-12-16 01:07:43,192.168.1.25,56933,34.54.84.110,443,TCP,37,7710,35.113,
2025-12-16 01:07:43,34.54.84.110,443,192.168.1.25,56933,TCP,36,35974,35.075,
2025-12-16 01:07:44,192.168.1.25,64718,142.251.220.106,443,UDP,13,7370,1.062,
2025-12-16 01:07:44,142.251.220.106,443,192.168.1.25,64718,UDP,17,9437,1.058,
2025-12-16 01:07:44,142.250.67.46,443,192.168.1.25,62706,UDP,20,11145,0.143,
2025-12-16 01:07:44,192.168.1.25,62706,142.250.67.46,443,UDP,17,7873,0.153,
2025-12-16 01:07:51,192.168.1.25,62573,64.233.170.188,443,TCP,1,55,0.0,
2025-12-16 01:07:51,64.233.170.188,443,192.168.1.25,62573,TCP,1,70,0.0,
2025-12-16 01:07:53,192.168.1.25,62696,74.125.200.188,443,TCP,1,55,0.0,
2025-12-16 01:07:53,74.125.200.188,443,192.168.1.25,62696,TCP,1,66,0.0,
2025-12-16 01:07:53,192.168.1.25,65042,34.54.84.110,443,TCP,13,2826,0.419,
2025-12-16 01:07:53,34.54.84.110,443,192.168.1.25,65042,TCP,12,5449,0.336,
2025-12-16 01:07:54,192.168.1.25,64736,20.199.39.224,443,TCP,3,163,30.034,
2025-12-16 01:07:54,20.199.39.224,443,192.168.1.25,64736,TCP,4,291,29.894,
2025-12-16 01:07:56,192.168.1.25,62293,99.86.182.15,443,TCP,3,163,14.783,
2025-12-16 01:07:56,99.86.182.15,443,192.168.1.25,62293,TCP,4,267,14.752,
2025-12-16 01:08:06,192.168.1.25,50442,3.233.252.78,443,TCP,3,163,14.587,
2025-12-16 01:08:06,3.233.252.78,443,192.168.1.25,50442,TCP,5,359,14.619,
2025-12-16 01:08:07,192.168.1.25,56932,100.30.124.180,443,TCP,3,163,15.013,
2025-12-16 01:08:07,100.30.124.180,443,192.168.1.25,56932,TCP,5,345,15.044,
2025-12-16 01:08:07,192.168.1.28,39466,239.255.255.250,1900,UDP,1,167,0.0,
2025-12-16 01:08:08,192.168.1.25,61800,35.190.80.1,443,UDP,12,6837,0.509,
2025-12-16 01:08:08,35.190.80.1,443,192.168.1.25,61800,UDP,11,5223,0.539,
2025-12-16 01:08:08,4.224.95.102,443,192.168.1.25,61700,TCP,1,101,0.0,
2025-12-16 01:08:08,192.168.1.25,61700,4.224.95.102,443,TCP,2,166,0.078,
2025-12-16 01:08:09,3.217.172.174,443,192.168.1.25,50969,TCP,2,139,0.0,
2025-12-16 01:08:09,192.168.1.25,50969,3.217.172.174,443,TCP,1,54,0.0,
2025-12-16 01:08:09,192.168.1.25,65039,13.107.213.58,443,TCP,1,55,0.0,
2025-12-16 01:08:09,13.107.213.58,443,192.168.1.25,65039,TCP,1,66,0.0,
2025-12-16 01:08:10,192.168.1.25,60336,3.233.252.78,443,TCP,4,217,18.939,
2025-12-16 01:08:10,3.233.252.78,443,192.168.1.25,60336,TCP,5,359,18.939,
2025-12-16 01:08:12,192.168.1.25,65323,8.8.8.8,443,UDP,20,6384,29.847,
2025-12-16 01:08:12,8.8.8.8,443,192.168.1.25,65323,UDP,22,8537,29.816,
2025-12-16 01:08:12,192.168.1.25,65227,8.8.4.4,443,UDP,16,4507,5.725,
2025-12-16 01:08:12,8.8.4.4,443,192.168.1.25,65227,UDP,18,6672,5.688,
2025-12-16 01:08:12,192.168.1.25,62733,104.18.32.47,443,TCP,9,1583,23.787,
2025-12-16 01:08:12,104.18.32.47,443,192.168.1.25,62733,TCP,10,1227,23.78,
2025-12-16 01:08:12,192.168.1.25,61645,35.190.80.1,443,TCP,8,717,8.721,
2025-12-16 01:08:12,35.190.80.1,443,192.168.1.25,61645,TCP,7,538,8.676,
2025-12-16 01:08:12,192.168.1.25,55091,172.64.155.209,443,TCP,10,14942,5.942,
2025-12-16 01:08:12,172.64.155.209,443,192.168.1.25,55091,TCP,19,1965,5.936,
2025-12-16 01:08:12,192.168.1.25,49772,172.217.24.3,443,UDP,12,6314,0.253,
2025-12-16 01:08:12,192.168.1.25,63471,18.161.216.127,443,TCP,11,3845,0.268,
2025-12-16 01:08:12,18.161.216.127,443,192.168.1.25,63471,TCP,10,2493,0.248,
2025-12-16 01:08:12,172.217.24.3,443,192.168.1.25,49772,UDP,15,7882,0.248,
2025-12-16 01:08:13,192.168.1.25,63472,57.144.169.32,443,TCP,11,1566,0.065,
2025-12-16 01:08:13,57.144.169.32,443,192.168.1.25,63472,TCP,10,1219,0.062,
2025-12-16 01:08:13,192.168.1.25,63473,57.144.53.32,443,TCP,13,1686,0.079,
2025-12-16 01:08:13,192.168.1.25,63475,57.144.211.32,443,TCP,10,1512,0.077,
2025-12-16 01:08:13,57.144.53.32,443,192.168.1.25,63473,TCP,11,1304,0.076,
2025-12-16 01:08:13,57.144.211.32,443,192.168.1.25,63475,TCP,11,1273,0.067,
2025-12-16 01:08:13,192.168.1.25,63476,57.144.43.32,443,TCP,9,1433,0.102,
2025-12-16 01:08:13,192.168.1.25,63474,202.88.157.98,443,TCP,15,1980,0.133,
2025-12-16 01:08:13,202.88.157.98,443,192.168.1.25,63474,TCP,15,4751,0.129,
2025-12-16 01:08:13,4.213.25.242,443,192.168.1.25,61708,TCP,1,228,0.0,
2025-12-16 01:08:13,57.144.43.32,443,192.168.1.25,63476,TCP,11,1273,0.144,
2025-12-16 01:08:13,192.168.1.25,61708,4.213.25.242,443,TCP,2,151,0.078,
2025-12-16 01:08:16,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.075,
2025-12-16 01:08:16,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:08:16,192.168.1.25,61315,13.107.5.93,443,TCP,9,1959,4.121,
2025-12-16 01:08:16,13.107.5.93,443,192.168.1.25,61315,TCP,13,7839,4.109,
2025-12-16 01:08:16,192.168.1.25,58449,23.23.231.53,443,TCP,13,7653,1.2,
2025-12-16 01:08:16,23.23.231.53,443,192.168.1.25,58449,TCP,12,5678,1.147,
2025-12-16 01:08:17,192.168.1.25,62755,172.217.24.3,443,UDP,102,111782,0.991,
2025-12-16 01:08:17,172.217.24.3,443,192.168.1.25,62755,UDP,67,11734,0.993,
2025-12-16 01:08:20,192.168.1.25,62838,8.8.8.8,53,UDP,1,79,0.0,
2025-12-16 01:08:20,8.8.8.8,53,192.168.1.25,62838,UDP,1,143,0.0,
2025-12-16 01:08:21,192.168.1.1,0,192.168.1.25,0,1,3,1782,6.005,
2025-12-16 01:08:22,192.168.1.25,50551,44.198.7.35,443,TCP,13,5389,0.69,
2025-12-16 01:08:22,44.198.7.35,443,192.168.1.25,58701,TCP,8,4990,0.909,
2025-12-16 01:08:22,44.198.7.35,443,192.168.1.25,50551,TCP,14,5969,0.766,
2025-12-16 01:08:22,192.168.1.25,58701,44.198.7.35,443,TCP,8,3992,1.254,
2025-12-16 01:08:24,192.168.1.25,49664,8.8.8.8,53,UDP,1,92,0.0,
2025-12-16 01:08:24,192.168.1.25,59381,8.8.8.8,53,UDP,1,92,0.0,
2025-12-16 01:08:24,8.8.8.8,53,192.168.1.25,59381,UDP,1,216,0.0,
2025-12-16 01:08:24,8.8.8.8,53,192.168.1.25,49664,UDP,1,256,0.0,
2025-12-16 01:08:24,192.168.1.25,51472,216.239.36.223,443,TCP,8,41592,4.224,
2025-12-16 01:08:24,216.239.36.223,443,192.168.1.25,51472,TCP,15,3631,4.21,
2025-12-16 01:08:25,192.168.1.25,50948,13.89.179.10,443,TCP,6,9184,30.219,
2025-12-16 01:08:25,13.89.179.10,443,192.168.1.25,50948,TCP,10,690,29.734,
2025-12-16 01:08:26,192.168.1.25,50636,8.8.4.4,443,UDP,27,6212,10.732,
2025-12-16 01:08:26,8.8.4.4,443,192.168.1.25,50636,UDP,32,10203,10.706,
2025-12-16 01:08:27,192.168.1.25,54895,104.18.36.169,443,UDP,15,11614,1.74,
2025-12-16 01:08:27,104.18.36.169,443,192.168.1.25,54895,UDP,13,5933,1.728,
2025-12-16 01:08:31,192.168.1.25,65383,202.88.157.98,443,TCP,7,378,18.951,
2025-12-16 01:08:31,192.168.1.25,65384,57.144.43.32,443,TCP,7,378,18.95,
2025-12-16 01:08:31,192.168.1.25,65385,57.144.53.32,443,TCP,7,378,18.95,
2025-12-16 01:08:31,192.168.1.25,65382,57.144.211.32,443,TCP,7,378,18.95,
2025-12-16 01:08:31,192.168.1.25,65381,57.144.169.32,443,TCP,7,378,18.949,
2025-12-16 01:08:32,192.168.1.25,61316,57.144.169.33,443,TCP,27,2662,20.252,
2025-12-16 01:08:32,57.144.169.33,443,192.168.1.25,61316,TCP,32,4824,20.233,
2025-12-16 01:08:35,192.168.1.25,50552,52.168.112.67,443,TCP,10,2923,0.713,
2025-12-16 01:08:35,52.168.112.67,443,192.168.1.25,50552,TCP,7,7301,0.461,
2025-12-16 01:08:36,192.168.1.25,62573,64.233.170.188,443,TCP,1,55,0.0,
2025-12-16 01:08:37,64.233.170.188,443,192.168.1.25,62573,TCP,1,66,0.0,
2025-12-16 01:08:37,192.168.1.25,57878,34.195.70.37,443,TCP,129,18877,18.342,
2025-12-16 01:08:37,34.195.70.37,443,192.168.1.25,57878,TCP,163,35008,18.118,
2025-12-16 01:08:37,192.168.1.25,51471,34.195.70.37,443,TCP,132,17728,17.272,
2025-12-16 01:08:37,34.195.70.37,443,192.168.1.25,51471,TCP,188,32746,17.06,
2025-12-16 01:08:37,192.168.1.25,52493,8.8.8.8,53,UDP,2,177,25.298,
2025-12-16 01:08:37,8.8.8.8,53,192.168.1.25,52493,UDP,2,381,25.293,
2025-12-16 01:08:38,192.168.1.25,62696,74.125.200.188,443,TCP,1,55,0.0,
2025-12-16 01:08:38,192.168.1.25,137,192.168.1.1,137,UDP,9,990,21.165,
2025-12-16 01:08:38,74.125.200.188,443,192.168.1.25,62696,TCP,1,70,0.0,
2025-12-16 01:08:38,192.168.1.25,50553,140.82.114.22,443,TCP,9,4654,1.209,
2025-12-16 01:08:39,140.82.114.22,443,192.168.1.25,50553,TCP,12,7107,1.209,
2025-12-16 01:08:43,192.168.1.25,56557,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:08:43,192.168.1.25,61627,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:08:43,8.8.8.8,53,192.168.1.25,56557,UDP,1,146,0.0,
2025-12-16 01:08:43,8.8.8.8,53,192.168.1.25,61627,UDP,1,102,0.0,
2025-12-16 01:08:43,192.168.1.25,56413,8.8.4.4,443,UDP,15,7746,0.132,
2025-12-16 01:08:43,8.8.4.4,443,192.168.1.25,56413,UDP,16,11857,0.067,
2025-12-16 01:08:43,8.8.4.4,443,192.168.1.25,64325,TCP,6,5498,0.057,
2025-12-16 01:08:43,192.168.1.25,56940,142.250.182.65,443,TCP,4,241,30.155,
2025-12-16 01:08:43,142.250.182.65,443,192.168.1.25,56940,TCP,5,302,30.143,
2025-12-16 01:08:43,192.168.1.25,64325,8.8.4.4,443,TCP,6,2226,0.123,
2025-12-16 01:08:43,192.168.1.25,65043,34.54.84.110,443,TCP,46,8270,35.344,
2025-12-16 01:08:43,34.54.84.110,443,192.168.1.25,65043,TCP,51,51381,35.123,
2025-12-16 01:08:44,52.168.117.175,443,192.168.1.25,56919,TCP,11,7562,1.001,
2025-12-16 01:08:44,192.168.1.25,56919,52.168.117.175,443,TCP,13,8135,1.257,
2025-12-16 01:08:51,192.168.1.20,5353,224.0.0.251,5353,UDP,6,1047,0.77,
2025-12-16 01:08:53,192.168.1.25,62687,34.54.84.110,443,TCP,30,3921,0.505,
2025-12-16 01:08:53,34.54.84.110,443,192.168.1.25,62687,TCP,37,63734,0.444,
2025-12-16 01:08:54,13.107.213.58,443,192.168.1.25,65039,TCP,5,333,0.015,
2025-12-16 01:08:54,192.168.1.25,65039,13.107.213.58,443,TCP,3,162,0.008,
2025-12-16 01:08:55,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:08:55,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.076,
2025-12-16 01:09:01,192.168.1.25,58727,8.8.8.8,53,UDP,1,76,0.0,
2025-12-16 01:09:01,192.168.1.25,58727,8.8.4.4,53,UDP,1,76,0.0,
2025-12-16 01:09:01,8.8.4.4,53,192.168.1.25,58727,UDP,1,285,0.0,
2025-12-16 01:09:01,8.8.8.8,53,192.168.1.25,58727,UDP,1,285,0.0,
2025-12-16 01:09:02,192.168.1.25,62688,150.171.22.11,443,TCP,8,3320,0.946,
2025-12-16 01:09:02,150.171.22.11,443,192.168.1.25,62688,TCP,9,13050,0.933,
2025-12-16 01:09:03,192.168.1.25,61700,4.224.95.102,443,TCP,2,166,0.077,
2025-12-16 01:09:03,4.224.95.102,443,192.168.1.25,61700,TCP,1,101,0.0,
